,word,score,source
0,start,0.4031128404669258,3000
1,smart,0.3856031128404666,3000
2,start,0.4031128404669258,20000
3,smart,0.3856031128404666,20000
4,shaft,0.370428015564202,20000
5,suant,0.4583657587548636,all
6,shant,0.4428015564202332,all
7,surat,0.4143968871595329,all
8,scant,0.4066147859922177,all
9,start,0.4031128404669258,all
10,spait,0.4003891050583655,all
11,scatt,0.4003891050583655,all
12,spart,0.3949416342412448,all
13,shoat,0.3926070038910503,all
14,scart,0.38988326848249,all
15,swart,0.3883268482490269,all
16,snast,0.3859922178988323,all
17,smart,0.3856031128404666,all
18,skart,0.3789883268482487,all
19,shaft,0.370428015564202,all
20,stoat,0.3696498054474706,all
21,sprat,0.3677042801556417,all
22,scrat,0.362645914396887,all
23,sugat,0.3571984435797663,all
24,scaut,0.3525291828793772,all
25,squat,0.3058365758754862,all
